Name,Location,Number,Opening and Closing Hours
M-Care Medical Clinic,"Rodney Bay, Gros Islet",(758)453 2552,"Monday-Friday:8AM to 8PM , Saturday-Sunday:8AM to 2PM"
Health plus Medical Services,"Choc, Gros Islet",(758)450 4411,"Monday-Friday:9AM to 5PM,Saturday:9AM to 1PM,Sunday:Closed"
Rodney Bay Medical Centre,"Rodney Bay, Gros Islet",(758)452 8621,"Monday-Friday:8AM to 5PM,Saturday:9AM to 1PM,Sunday:Closed"
Easy Care Clinic,Gros-Islet,(758)450 0707,"Monday-Friday:9AM to 5PM,Saturday-Sunday:Closed"
Bay Medical Centre,"Tapion Rd, Castries slu",(758)459 2640,"Monday-Friday:8AM to 4PM,Saturday-Sunday:Closed"
Nunez Health Services,"Rodney Bay, Gros Islet",(758)461 3551,"Monday-Thursday and Saturday: 8:30AM to 4:30PM,Friday: 12PM to 4:30PM,Sunday:Closed"
St Athony Medical Centre,Vieux Fort,(758)454 4040,"Monday-Friday:8AM to 5:30PM,Saturday:8AM to 12PM,Sunday:Closed"
Doxa Specialist Clinic,Castries - Gros Islet Hwy,(758)285 1616,"Monday-Saturday:9AM to 5PM,Sunday:Closed"
Concierge Medical Center,Castries,(758)486 7111,"Monday-Friday:9AM to 2:30PM,Saturday:9AM to 12PM,Sunday:Closed"
Castries Health Center,Castries,(758)452 4416,"Monday-Friday:8AM to 4:30PM,Saturday:8AM to 12PM,Sunday:Closed"
Bexon Health Care,"Bexon, Castries",(758)452 1261,"Monday-Friday:8AM to 4PM,Saturday-Sunday:Closed"
La Clinic Du Corps,"Rodney Bay, Gros Islet",(758)451 6559,"Monday-Friday:9AM to 5PM,Saturday:9AM to 1PM,Sunday:Closed"
Tapion Hospital,Castries,(758)459 2000,Monday-Sunday: Open 24 hours
EMRS Dialysis Clinic,Castries,(758)459 0999,"Monday-Friday:7AM to 4:30PM,Saturday:8AM to 2PM,Sunday:Closed"
Dr.Ramos Medical Center,Castries,(758)729 6134,"Monday-Friday:9AM to 4:30PM,Saturday-Sunday:Closed"
Millennium Heights Medical Complex,"Ciceron, Castries",(758)458 6500,Monday-Sunday: Open 24 hours
La Clery Health Center,"La clery, Castries",(758)452 4303,"Monday-Friday:8AM to 4:30PM,Saturday:8AM to 4PM,Sunday:Closed"
The Pain Clinic,Gros Islet,(758)285 1616,"Monday-Saturday:9AM to 5PM,Sunday:Closed"
Bayside Therapy Services,Gros Islet,(758)458 4409,"Monday-Friday:8AM to 8PM,Saturday:10AM to 6PM,Sunday:Closed"
Bon Sante,Castries,(758)453 1880,"Monday-Friday:9AM to 5PM,Saturday-Sunday:Closed"
Dennery Hospital,Dennery,(758)453 3310,Monday-Sunday: 6AM to 12AM
Micoud Wellness Center,Micoud,(758)468 7957,N/A
Desruisseux Health and Wellness Center,"Desruisseux, Micould",(758)455 0449,"Monday-Friday:8AM to 4:30PM,Saturday-Sunday:Closed"
Grace Health and Wellness Center,"Grace, Vieux Fort",(758)468 7751,"Monday-Friday:8AM to 4:30PM,Saturday-Sunday:Closed"
St. Anthony Medical Center,Vieux Fort,(758)454 4040,"Monday-Friday:8AM to 5:30PM,Saturday:8AM to 12PM,Sunday:Closed  "
Vieux Fort Health Center,Vieux Fort,(758)454 6337,"Monday-Friday:8AM to 4:30PM,Saturday:8AM to 12PM,Sunday:Closed  "
Medical and Dental Clinic,Vieux Fort,(758)454 8094,"Monday-Tuesday:8AM to 5PM, Thursday-Saturday:8AM to 5PM, Wednesday and Sunday:Closed"
Get Well Medical Center,Vieux Fort,(758)724 9355,Monday-Sunday: Open 24 hours
Southern Medical Center,Vieux Fort,(758)454 5018,N/A
Nunez Health Services,Vieux Fort,(758)461 3551,"Monday-Thursday:8AM to 4:30PM,Friday: 12PM to 4:30PM,Saturday:8AM to 4:30PM,Sunday:Closed  "
